Date,Nvidia,AAPL,BAESY,CJJD,AZN,SAS,TSLA,Saab AB,PFE,GME,HSBC,LVMH,,,,,,,,,,,,,
17/11/2014,0.0333,0.0201,0.0115,0.0955,0.0235,0.1724,-0.0615,0.0124,0.0036,-0.1473,-0.0153,0.0523,,,,,,,,,,,,,
24/11/2014,0.0298,0.0211,0.0316,-0.0596,-0.0052,0.125,0.0072,0.0231,0.023,0.0062,0.0051,-0.0031,,,,,,,,,,,,,
01/12/2014,0.0048,-0.033,-0.001,0.0488,-0.0061,0.0523,-0.0851,-0.0216,0.027,-0.0103,0.0066,0.0087,,,,,,,,,,,,,
08/12/2014,-0.0683,-0.0458,-0.0839,-0.014,-0.026,0.0186,-0.0747,-0.0363,-0.0325,-0.1368,-0.0539,-0.0476,,,,,,,,,,,,,
15/12/2014,0.0402,0.0187,0.0516,-0.0472,-0.0015,-0.1006,0.0594,0.0306,0.032,0.0681,0.0034,-0.0556,,,,,,,,,,,,,
22/12/2014,0.0083,0.0198,0.0266,0.0099,-0.0109,-0.0644,0.0389,0.0094,-0.0091,-0.0246,0.0101,0.015,,,,,,,,,,,,,
29/12/2014,-0.0223,-0.0409,-0.033,0.2549,-0.0072,0.1449,-0.0374,-0.0279,-0.0101,0.0045,-0.0198,-0.008,,,,,,,,,,,,,
05/01/2015,-0.0094,0.0245,-0.0132,0.082,-0.0136,0.019,-0.0577,-0.0252,0.0421,-0.0453,-0.0317,-0.0241,,,,,,,,,,,,,
12/01/2015,0.001,-0.0537,0.0409,0.065,0.0376,0.1491,-0.0658,-0.0196,0.0046,0.1264,-0.0075,0.0509,,,,,,,,,,,,,
19/01/2015,0.0376,0.0659,0.059,-0.0949,-0.0189,-0.0541,0.0426,0.0633,-0.0107,0.0289,0.0351,0.057,,,,,,,,,,,,,
26/01/2015,-0.0729,0.037,-0.0285,0.03,0.005,-0.0571,0.0115,0.0005,-0.037,-0.0575,-0.0237,0.0116,,,,,,,,,,,,,
02/02/2015,0.0625,0.0151,0.0376,-0.0618,-0.0472,0.0545,0.0676,0.0074,0.0614,0.0428,0.0297,0.0648,,,,,,,,,,,,,
09/02/2015,0.0936,0.0727,0.0251,0.0039,0.0335,0.023,-0.0625,0.0733,0.0535,0.0161,-0.0202,0.0373,,,,,,,,,,,,,
16/02/2015,0.0013,0.019,0.0198,0.0425,-0.0197,0.0337,0.0655,0.0073,-0.0023,0.0037,0.0119,0.0158,,,,,,,,,,,,,
23/02/2015,-0.0125,-0.008,-0.0055,0.1111,0.0329,-0.0054,-0.0634,0.0159,-0.0069,-0.0139,-0.0441,0.018,,,,,,,,,,,,,
02/03/2015,0.0261,-0.0145,-0.0092,-0.0633,-0.0382,-0.0874,-0.0465,-0.0157,-0.0102,0.0863,-0.0406,0.0305,,,,,,,,,,,,,
09/03/2015,0.0067,-0.0238,-0.0281,-0.0036,0.0163,-0.0299,-0.0268,0.0032,0.0009,0.0134,-0.0073,0.0139,,,,,,,,,,,,,
16/03/2015,0.0339,0.0187,0.0371,-0.0071,0.0794,-0.0062,0.0498,0.0454,0.0074,0.0146,0.0484,-0.0117,,,,,,,,,,,,,
23/03/2015,-0.089,-0.021,-0.0306,-0.018,-0.0362,-0.0124,-0.066,-0.0148,0.0082,-0.0626,-0.0101,-0.0414,,,,,,,,,,,,,
30/03/2015,-0.015,0.0168,-0.0192,0.1355,-0.0181,0.0314,0.0324,0.0357,-0.0043,-0.0042,0.0007,0.008,,,,,,,,,,,,,
06/04/2015,0.0807,0.0142,0.0167,0.0032,0.0161,0.0793,0.1042,0.0051,0.0308,0.0576,0.0357,0.0541,,,,,,,,,,,,,
13/04/2015,-0.0246,-0.0185,-0.0253,0.045,0.0202,-0.0904,-0.0195,-0.0398,-0.0113,-0.0183,0.0038,-0.0403,,,,,,,,,,,,,
20/04/2015,-0.0077,0.0443,0.0371,0.2338,0.0066,0.0311,0.0563,-0.0067,0.0066,0.0265,0.0635,-0.0266,,,,,,,,,,,,,
27/04/2015,0.0327,-0.0102,-0.0157,-0.0524,-0.0545,-0.0301,0.0348,-0.0222,-0.0337,-0.0378,0.0319,-0.016,,,,,,,,,,,,,
04/05/2015,-0.0844,-0.0103,0.0254,-0.0158,0.0301,-0.0124,0.0468,-0.019,-0.0018,0.026,0.0051,0.0268,,,,,,,,,,,,,
11/05/2015,0.0226,0.0132,0.0111,0.0374,-0.009,0,0.0517,0.033,0.0074,-0.0032,-0.0135,-0.0127,,,,,,,,,,,,,
18/05/2015,-0.0207,0.0293,0.0069,-0.134,0.0023,0.0126,-0.0045,0.0228,0.0085,0.0185,-0.0143,0.0482,,,,,,,,,,,,,
25/05/2015,0.0658,-0.0171,-0.0131,-0.0685,-0.0274,-0.0497,0.0124,-0.0214,0.0137,0.064,-0.0023,-0.0255,,,,,,,,,,,,,
01/06/2015,0.0059,-0.0125,-0.0386,0.0895,-0.0078,-0.0556,-0.0066,-0.031,-0.019,0.0168,-0.0067,-0.0114,,,,,,,,,,,,,
08/06/2015,-0.0517,-0.0115,-0.0016,0.1232,-0.0198,0.0242,0.0062,-0.0113,0.0035,-0.0267,0.0057,0.0128,,,,,,,,,,,,,
15/06/2015,0.036,-0.0045,-0.0122,-0.1358,0.0154,0.0541,0.0471,-0.0348,-0.0009,0.0113,-0.0143,-0.0148,,,,,,,,,,,,,
22/06/2015,-0.0517,0.0012,-0.02,0,-0.0055,-0.0256,0.0174,0.0148,-0.0076,0.022,-0.0058,0.0703,,,,,,,,,,,,,
29/06/2015,-0.0154,-0.0024,-0.0402,0.0121,-0.0139,0.0197,0.0484,0.0088,-0.0162,-0.0109,-0.0284,-0.0791,,,,,,,,,,,,,
06/07/2015,-0.0328,-0.025,0.0443,-0.191,0.0159,-0.0129,-0.0745,0.0198,0.0297,0.0781,-0.029,0.007,,,,,,,,,,,,,
13/07/2015,0.0162,0.0514,0.0248,0.1402,0.0161,-0.0065,0.0598,0.0198,0.0207,-0.0062,0.0328,0.0517,,,,,,,,,,,,,
20/07/2015,-0.0324,-0.0395,-0.0567,-0.2006,-0.0261,0.0724,-0.0337,-0.0352,-0.0231,-0.0253,-0.0274,-0.0054,,,,,,,,,,,,,
27/07/2015,0.0273,-0.0257,0.0534,0.0526,0.0277,-0.0613,0.0028,0.0005,0.0525,0.0079,0.0227,0.028,,,,,,,,,,,,,
03/08/2015,0.1519,-0.0477,-0.0263,-0.1,-0.003,0.0588,-0.0888,0.0466,-0.0241,-0.0148,0.0093,0.0161,,,,,,,,,,,,,
10/08/2015,0.0244,0.0084,0.0086,-0.0385,-0.0068,-0.0247,0.0026,-0.0028,0.0115,0.0503,-0.038,-0.0799,,,,,,,,,,,,,
